Y,X1,X2,X3
87,18.4,8,84
82,17.7,7,87
92,19.5,4,82
114,22.5,0,92
94,20.4,7,114
80,18.3,7,94
79,14.9,8,80
79,18.9,4,99
101,21.4,4,79
106,22.9,8,101
101,20.2,3,106
90,17.4,8,101
72,19.4,6,90
70,18,7,72
83,16.6,7,70
88,21.5,4,83
145,26.9,1,121
81,23.4,1,145
121,26.9,0,81
146,28.4,2,121
121,27.7,0,146
146,33.7,0,121
108,25.1,0,146
83,24.8,6,108
57,22.8,7,83
81,27.2,4,57
67,23.7,4,81
70,24.9,1,67
106,30.1,1,70
139,31.9,4,106
79,17.8,8,139
93,22,6,79
97,25,4,93
113,22.7,5,97
72,23.9,4,113
88,25.2,4,72
77,22.5,7,88
71,22.4,6,77
56,18.5,6,71
45,15.2,8,56
67,20.3,5,45
67,19.5,6,67
84,21.4,6,67
63,20.6,6,84
69,15.9,8,63
92,19.3,4,69
88,20.7,5,92
66,23.3,5,88
72,23.6,6,66
81,23.9,2,72
83,24.1,6,81
149,29,3,83
153,29.4,4,149
159,26.5,7,153
149,28.8,3,159
160,31.1,5,149
156,32.2,4,160
84,27.8,2,156
126,31.2,4,84
116,22.1,8,126
77,23.6,6,116
63,20.3,7,77
54,17.8,8,63
65,22.7,7,54
72,20.4,8,65
60,21.7,7,72
70,20.5,3,60
77,20.8,4,70
98,24.3,0,77
111,26.7,2,98
75,26,1,111
116,31.7,5,75
109,26.6,4,116
67,18.9,8,86
76,24,5,67
113,27,2,76
117,28.6,4,113
131,30.1,3,117
166,30.8,1,131
159,35.5,1,166
100,27.6,6,159
114,26.4,5,100
112,26.8,3,114
101,20.6,7,112
76,18.7,7,101
59,20.3,6,76
78,21.5,3,59
76,24.6,6,78
55,19.2,5,76
71,19.5,3,55
66,19.3,6,71
59,19,7,66
68,22.5,7,59
63,19.4,8,68
78,22,6,62
74,19.1,7,78
71,18.6,1,74
69,17.5,8,71
71,16.6,5,69
60,15.8,4,71
42,14.9,7,60
65,15.9,7,42
